name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
,1989 (Deluxe),10/27/2014,6.0,7rqMFBawnvxyyj3nA1iaUV,spotify:track:7rqMFBawnvxyyj3nA1iaUV,0.0647,0.647,0.8,0.0,0.334,-5.384,0.165,160.078,0.942,31.0,219200.0
,1989 (Deluxe),10/27/2014,7.0,6jtyKhIG6rNbRcQQ5Pba3s,spotify:track:6jtyKhIG6rNbRcQQ5Pba3s,0.0158,,0.893,4.95e-05,,-5.966,0.0538,118.035,0.513,21.0,
Bad Blood,1989 (Deluxe),10/27/2014,8.0,0BThmcV5jOQywT3aEX84zA,spotify:track:0BThmcV5jOQywT3aEX84zA,0.0885,0.646,,6.16e-06,0.201,-6.104,0.19,170.216,,27.0,
Wildest Dreams,1989 (Deluxe),10/27/2014,9.0,19xxRin5GXKV8e2zp9cnql,spotify:track:19xxRin5GXKV8e2zp9cnql,0.0692,0.55,0.688,0.00144,,,0.0897,139.997,0.465,22.0,
How You Get The Girl,1989 (Deluxe),10/27/2014,10.0,0EZGm0wWm436S7t82JnIru,spotify:track:0EZGm0wWm436S7t82JnIru,0.00364,0.765,0.656,,0.0918,-6.112,0.0504,119.997,0.545,,247533.0
This Love,1989 (Deluxe),,11.0,1ywjtMNVGNvyGfEk8AmaOm,spotify:track:1ywjtMNVGNvyGfEk8AmaOm,,0.481,0.435,0.0,0.0928,-8.795,0.0321,143.95,0.107,18.0,250093.0
I Know Places,,,12.0,5uPp8esLKE5c0YUiALBB2U,spotify:track:5uPp8esLKE5c0YUiALBB2U,0.245,0.602,0.755,0.0,0.178,-4.991,0.071,159.965,0.495,18.0,195706.0
,1989 (Deluxe),,13.0,,spotify:track:69eYqG5XzoqgsH12eEyVL1,0.232,0.815,0.377,,,-7.754,,,0.211,20.0,
Wonderland,1989 (Deluxe),10/27/2014,14.0,0kNSWs0FONDMVNe1NWbwCK,spotify:track:0kNSWs0FONDMVNe1NWbwCK,0.0493,0.422,0.692,2.57e-05,0.177,,0.0549,184.014,0.197,24.0,245560.0
You Are In Love,1989 (Deluxe),10/27/2014,15.0,,,,,0.48,0.000108,0.0903,-8.894,0.0622,170.109,0.319,28.0,267106.0
,1989 (Deluxe),10/27/2014,16.0,7ARgHV20qAFcy1UoNcaCB0,spotify:track:7ARgHV20qAFcy1UoNcaCB0,0.00463,0.633,0.889,,0.0658,-5.87,0.0715,121.956,0.584,39.0,230466.0
I Know Places - Voice Memo,1989 (Deluxe),10/27/2014,17.0,6maLH65ZFDDcGnXYTe9dkX,spotify:track:6maLH65ZFDDcGnXYTe9dkX,,0.592,,0.0,,-17.932,0.589,78.828,0.15,0.0,
,1989 (Deluxe),10/27/2014,18.0,6pgQBu5fmP0u7A9yAMQpCb,,0.717,0.781,0.357,,0.185,-16.394,0.912,118.317,0.645,,
Blank Space - Voice Memo,1989 (Deluxe),10/27/2014,19.0,,spotify:track:7hQYo8yxPIo92K4uAkedb3,,0.675,0.234,0.0,0.657,-15.064,0.721,127.296,0.578,0.0,131186.0
Welcome To New York,1989 (Deluxe Edition),10/27/2014,,33Kq0AT5rvwyE4azisG08x,spotify:track:33Kq0AT5rvwyE4azisG08x,0.0348,0.789,0.634,1.64e-06,0.302,-4.762,0.0323,116.992,0.658,57.0,212600.0
Blank Space,1989 (Deluxe Edition),10/27/2014,2.0,2sC2P3BN0IXujNaaSyDmtP,spotify:track:2sC2P3BN0IXujNaaSyDmtP,0.103,0.76,0.703,0.0,0.0913,-5.412,0.054,95.997,0.57,61.0,231826.0
Style,1989 (Deluxe Edition),10/27/2014,3.0,1fo2ctLqj3zBhRQKOXprol,spotify:track:1fo2ctLqj3zBhRQKOXprol,0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,,65.0,231000.0
Out Of The Woods,1989 (Deluxe Edition),,,6Nde5KuTXyB7jlPO4upaBo,spotify:track:6Nde5KuTXyB7jlPO4upaBo,0.000743,0.553,0.841,1.19e-05,0.341,-6.937,0.0396,92.008,0.338,61.0,235800.0
,1989 (Deluxe Edition),10/27/2014,5.0,0lmMtDQ2ElasKU2qDAE6NN,spotify:track:0lmMtDQ2ElasKU2qDAE6NN,0.00201,0.605,0.725,2.02e-05,0.101,-5.729,0.0323,96.97,0.539,,193293.0
Shake It Off,,10/27/2014,6.0,3fthfkkvy9av3q3uAGVf7U,spotify:track:3fthfkkvy9av3q3uAGVf7U,0.0647,0.647,0.8,0.0,0.334,-5.384,0.165,160.078,,58.0,219200.0
I Wish You Would,1989 (Deluxe Edition),10/27/2014,7.0,1B5VzXPqMlvRw0U4HJY3dJ,spotify:track:1B5VzXPqMlvRw0U4HJY3dJ,,0.653,0.893,4.95e-05,0.102,-5.966,0.0538,118.035,0.513,61.0,207440.0
Bad Blood,1989 (Deluxe Edition),10/27/2014,8.0,0yN4fNzmVnmgC0dsOoi9Wh,spotify:track:0yN4fNzmVnmgC0dsOoi9Wh,0.0885,0.646,0.794,6.16e-06,0.201,-6.104,0.19,170.216,,58.0,211933.0
Wildest Dreams,1989 (Deluxe Edition),10/27/2014,9.0,106R7Z57WYzBAfrXImV30y,spotify:track:106R7Z57WYzBAfrXImV30y,0.0692,,0.688,0.00144,0.106,-7.416,0.0897,139.997,0.465,58.0,220440.0
How You Get The Girl,1989 (Deluxe Edition),10/27/2014,10.0,6wfugRLamFsTRbPcCpNnP7,spotify:track:6wfugRLamFsTRbPcCpNnP7,0.00364,0.765,0.656,0.00868,0.0918,-6.112,0.0504,119.997,0.545,63.0,247533.0
This Love,,10/27/2014,11.0,1kTPQnabROVkW9bUXdCGrB,spotify:track:1kTPQnabROVkW9bUXdCGrB,0.678,0.481,0.435,0.0,0.0928,-8.795,0.0321,,0.107,57.0,250093.0
I Know Places,1989 (Deluxe Edition),10/27/2014,12.0,2zfgVd034GlUvk7LqBHl6u,spotify:track:2zfgVd034GlUvk7LqBHl6u,0.245,0.602,,0.0,0.178,-4.991,0.071,159.965,0.495,60.0,195706.0
Clean,1989 (Deluxe Edition),10/27/2014,13.0,4bXCcoesMt8u99xMsbLr9U,spotify:track:4bXCcoesMt8u99xMsbLr9U,0.232,0.815,0.377,0.0,0.1,-7.754,0.0346,103.97,0.211,65.0,271000.0
Wonderland,1989 (Deluxe Edition),10/27/2014,14.0,6iWMI5oOhWrDbLbjmwTWFq,,0.0493,0.422,0.692,2.57e-05,0.177,-5.447,0.0549,184.014,0.197,,245560.0
You Are In Love,1989 (Deluxe Edition),,15.0,,spotify:track:4A2LfnduSTsE8u0ecYROxE,0.707,0.474,0.48,0.000108,0.0903,-8.894,,170.109,0.319,64.0,267106.0
New Romantics,,10/27/2014,16.0,6rZVy6FIG7lSJQMFXHo12z,,0.00463,,0.889,0.000458,0.0658,-5.87,0.0715,121.956,0.584,68.0,230466.0
I Know Places - Voice Memo,1989 (Deluxe Edition),10/27/2014,17.0,4JQm7ebhsrt10wmrP6AfXL,spotify:track:4JQm7ebhsrt10wmrP6AfXL,0.829,0.592,,0.0,0.527,-17.932,,,0.15,44.0,216333.0
I Wish You Would - Voice Memo,,10/27/2014,18.0,,,0.717,0.781,0.357,0.0,0.185,-16.394,0.912,118.317,0.645,42.0,107133.0
Blank Space - Voice Memo,1989 (Deluxe Edition),10/27/2014,,0yisH8r0f3Mkq34kjzUlCV,,0.801,0.675,0.234,0.0,0.657,-15.064,0.721,127.296,0.578,42.0,131186.0
Welcome To New York,1989 (Deluxe Edition),,1.0,1Rk3ykRpYgwqcW6MxCGA5G,spotify:track:1Rk3ykRpYgwqcW6MxCGA5G,0.038,0.793,,1.76e-06,0.304,-4.807,0.0324,117.024,0.615,7.0,212600.0
Blank Space,1989 (Deluxe Edition),10/27/2014,,,spotify:track:1G2JHXxbKpFIuJNpmv3yU8,0.085,0.753,,1.64e-06,0.13,-5.421,0.0644,96.006,0.583,,231826.0
Style,1989 (Deluxe Edition),10/27/2014,3.0,0dhf6NFP54TTBeAEJ1VZPe,spotify:track:0dhf6NFP54TTBeAEJ1VZPe,0.00253,0.598,,0.0016,0.117,-5.572,0.0383,95.019,0.456,13.0,231000.0
Out Of The Woods,1989 (Deluxe Edition),10/27/2014,,3QAlgP8i7Srq18uBPnVECn,spotify:track:3QAlgP8i7Srq18uBPnVECn,0.00103,,0.842,1.17e-05,0.337,-6.938,0.0373,91.991,0.343,7.0,
All You Had To Do Was Stay,1989 (Deluxe Edition),10/27/2014,5.0,,spotify:track:5QLdoiq1lC9a3Lm4hMJzCE,,0.602,0.736,4.57e-05,,,0.0338,96.969,0.471,15.0,193293.0
Shake It Off,,10/27/2014,6.0,53pvofTbW26xZmt5U3NU2Z,spotify:track:53pvofTbW26xZmt5U3NU2Z,0.0561,0.647,0.785,0.0,0.148,-5.414,0.165,160.015,0.943,8.0,219200.0
I Wish You Would,1989 (Deluxe Edition),10/27/2014,7.0,2dA7JvkCDqWpmCZvgfrXkf,spotify:track:2dA7JvkCDqWpmCZvgfrXkf,0.016,0.648,0.898,9.91e-05,0.109,-5.963,0.0513,118.02,0.502,5.0,207440.0
Bad Blood,1989 (Deluxe Edition),,8.0,2GGlmWRIXQaVkPQwCWZlmf,spotify:track:2GGlmWRIXQaVkPQwCWZlmf,0.0871,0.65,0.802,6.54e-06,0.148,-6.114,0.181,170.146,0.295,21.0,211933.0
Wildest Dreams,1989 (Deluxe Edition),10/27/2014,9.0,42AES8t6ni6vA3lSgWWcvc,spotify:track:42AES8t6ni6vA3lSgWWcvc,0.0702,0.554,0.666,0.00593,0.106,-7.414,0.0747,140.056,0.472,7.0,220440.0
How You Get The Girl,1989 (Deluxe Edition),10/27/2014,10.0,6OPmAg2edbyLL3f5OJFoHW,spotify:track:6OPmAg2edbyLL3f5OJFoHW,,0.764,0.66,0.00477,,-6.136,0.0494,119.988,0.524,6.0,247533.0
This Love,1989 (Deluxe Edition),10/27/2014,11.0,28VqgFAhYCU7FdAm7dvEjp,spotify:track:28VqgFAhYCU7FdAm7dvEjp,0.635,,0.459,0.0,,-8.768,0.0333,143.988,0.0828,4.0,250093.0
I Know Places,1989 (Deluxe Edition),10/27/2014,12.0,68nCjTypyWMBn0eRyIF5nc,spotify:track:68nCjTypyWMBn0eRyIF5nc,0.231,0.596,0.763,0.0,,-4.99,0.0661,159.958,0.507,5.0,195706.0
Clean,1989 (Deluxe Edition),10/27/2014,,2IiaiMqyk1NmbgSLyjORZJ,spotify:track:2IiaiMqyk1NmbgSLyjORZJ,0.241,0.81,0.379,,0.113,-7.771,,103.981,0.22,,271000.0
Wonderland,1989 (Deluxe Edition),,14.0,,spotify:track:5uucwUGT5XYwpv99jdYf8A,0.0455,0.425,0.699,,0.174,-5.449,0.0481,183.88,0.2,16.0,245560.0
New Romantics,1989 (Deluxe Edition),10/27/2014,15.0,70yA9KHl6mQyNk8v779uJd,spotify:track:70yA9KHl6mQyNk8v779uJd,0.00633,,0.884,0.000218,0.0566,-5.844,,121.959,0.582,,230453.0
Welcome To New York,1989,1/1/2014,1.0,,spotify:track:10nqz67NQWWa7XPq7ycihi,0.038,,0.634,1.76e-06,0.304,-4.807,0.0324,117.023,,64.0,212600.0
Blank Space,1989,1/1/2014,2.0,2ls70nUDfjzm1lSRDuKxmw,spotify:track:2ls70nUDfjzm1lSRDuKxmw,0.085,0.752,0.678,1.64e-06,0.13,,,96.009,0.583,63.0,231826.0
,1989,1/1/2014,3.0,71PmZqBXH0RUETqxpwlV0w,spotify:track:71PmZqBXH0RUETqxpwlV0w,0.00256,0.598,0.786,,0.117,-5.572,0.0382,95.021,0.456,,231000.0
Out Of The Woods,1989,1/1/2014,4.0,7EpVQjqtKygiwJIASxMWNg,spotify:track:7EpVQjqtKygiwJIASxMWNg,0.00103,0.552,0.841,1.23e-05,,-6.938,0.0372,91.993,0.342,54.0,235800.0
All You Had To Do Was Stay,1989,1/1/2014,5.0,4NNolUeL5m2ju7kf8pdg6H,spotify:track:4NNolUeL5m2ju7kf8pdg6H,0.00196,0.602,0.735,4.77e-05,0.105,-5.778,0.0337,96.969,0.472,63.0,
Shake It Off,,1/1/2014,6.0,1kKlhuQE0HXp1IwBRpaH2P,spotify:track:1kKlhuQE0HXp1IwBRpaH2P,0.0561,0.648,0.785,0.0,0.148,-5.414,0.165,160.02,0.943,58.0,219200.0
I Wish You Would,,1/1/2014,7.0,,spotify:track:5RVJ6VKfwtosA5Q1qeHdjF,0.016,,0.898,9.9e-05,0.109,-5.963,0.0511,118.027,0.503,50.0,207440.0
Bad Blood,1989,1/1/2014,8.0,0TvQLMecTE8utzoNmvXRbK,spotify:track:0TvQLMecTE8utzoNmvXRbK,0.0871,0.652,0.802,6.45e-06,,-6.114,0.181,170.157,,75.0,211933.0
,1989,1/1/2014,,,spotify:track:3fVnlF4pGqWI9flVENcT28,0.0709,,0.664,,0.106,,0.0741,140.06,0.467,79.0,220440.0
How You Get The Girl,1989,1/1/2014,,5Z9ocF6ng0m2haHnKtHwTp,spotify:track:5Z9ocF6ng0m2haHnKtHwTp,0.00463,,0.659,0.00458,0.0915,-6.136,0.0492,,0.525,51.0,247533.0
This Love,,,11.0,7lTxQZVXlvIX7Z3szSy8Sh,spotify:track:7lTxQZVXlvIX7Z3szSy8Sh,0.635,0.485,0.459,,0.101,-8.768,0.0337,71.981,0.0858,48.0,250093.0
I Know Places,1989,1/1/2014,12.0,6Ck9WerfsyvC4v4AylUoDp,spotify:track:6Ck9WerfsyvC4v4AylUoDp,0.231,0.595,0.763,0.0,0.2,-4.991,0.0661,159.959,0.507,57.0,
Clean,1989,1/1/2014,13.0,2k43eySbfpDVx0PrO99UI8,,0.242,0.81,0.38,0.0,0.113,-7.755,0.035,103.981,0.211,50.0,271000.0
Welcome To New York,1989 (Deluxe),1/1/2014,1.0,3nRmDz7qGCvsMS30rGGY0x,spotify:track:3nRmDz7qGCvsMS30rGGY0x,0.0348,0.789,0.634,,0.302,-4.762,0.0323,116.992,0.658,59.0,212600.0
Blank Space,1989 (Deluxe),1/1/2014,2.0,1u8c2t2Cy7UBoG4ArRcF5g,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,0.103,0.76,0.703,0.0,0.0913,,0.054,95.997,0.57,84.0,231826.0
Style,1989 (Deluxe),1/1/2014,3.0,0ug5NqcwcFR2xrfTkc7k8e,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,0.487,80.0,231000.0
,1989 (Deluxe),1/1/2014,4.0,,spotify:track:0qUnBLZ8bJqUNEeQgayL9t,0.000743,0.553,0.841,1.19e-05,,-6.937,0.0396,92.008,0.338,69.0,235800.0
All You Had To Do Was Stay,1989 (Deluxe),1/1/2014,5.0,6aLOekfwbytwWvQftxTEF0,spotify:track:6aLOekfwbytwWvQftxTEF0,0.00201,0.605,0.725,,0.101,-5.729,0.0323,96.97,0.539,,193293.0
,1989 (Deluxe),,,0cqRj7pUJDkTCEsJkx8snD,spotify:track:0cqRj7pUJDkTCEsJkx8snD,0.0647,0.647,0.8,0.0,0.334,-5.384,0.165,160.078,0.942,81.0,219200.0
I Wish You Would,1989 (Deluxe),,7.0,5gRYrtvyVyaCRvLt56OfuV,spotify:track:5gRYrtvyVyaCRvLt56OfuV,0.0158,0.653,,4.95e-05,0.102,-5.966,0.0538,118.035,0.513,61.0,
Bad Blood,1989 (Deluxe),,8.0,,spotify:track:2NlmmAjGYrrjAp0MED5rGx,0.0885,,0.794,,0.201,-6.104,0.19,170.216,0.287,60.0,211933.0
Wildest Dreams,1989 (Deluxe),1/1/2014,9.0,4A4A6dwl5DqdqrZaEtKGPR,spotify:track:4A4A6dwl5DqdqrZaEtKGPR,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,0.465,60.0,220440.0
How You Get The Girl,1989 (Deluxe),1/1/2014,10.0,,spotify:track:0fM9dEhUFV4MHDuJgrcfOv,0.00364,0.765,,,0.0918,-6.112,0.0504,119.997,0.545,64.0,247533.0
This Love,1989 (Deluxe),,11.0,4L560fic5PaTuCFm6CviKa,spotify:track:4L560fic5PaTuCFm6CviKa,0.678,0.481,0.435,0.0,0.0928,,0.0321,143.95,0.107,59.0,250093.0
,1989 (Deluxe),1/1/2014,12.0,6EwNJz8CuVsrsLvXprJ20Q,spotify:track:6EwNJz8CuVsrsLvXprJ20Q,0.245,0.602,0.755,0.0,0.178,,0.071,159.965,,,195706.0
Clean,1989 (Deluxe),1/1/2014,13.0,1NmVZsG18CzCAtw7rnV3yA,spotify:track:1NmVZsG18CzCAtw7rnV3yA,0.232,0.815,0.377,0.0,0.1,-7.754,0.0346,103.97,0.211,66.0,271000.0
,1989 (Deluxe),,14.0,6RvRzl1YJTDnUvdOtV21IK,spotify:track:6RvRzl1YJTDnUvdOtV21IK,0.0493,0.422,0.692,2.57e-05,0.177,-5.447,0.0549,,0.197,66.0,245560.0
You Are In Love,1989 (Deluxe),1/1/2014,15.0,2KrOAg6FftbjgSKdd2a4rS,spotify:track:2KrOAg6FftbjgSKdd2a4rS,0.707,0.474,0.48,0.000108,0.0903,-8.894,0.0622,170.109,0.319,65.0,267106.0
,1989 (Deluxe),1/1/2014,16.0,0qAIiGFKLdV1xpNlEhjpq8,spotify:track:0qAIiGFKLdV1xpNlEhjpq8,,,0.889,,0.0658,-5.87,0.0715,,0.584,,230466.0
I Know Places - Voice Memo,1989 (Deluxe),1/1/2014,17.0,4FoV729rw7IhoKlMZW5K5V,spotify:track:4FoV729rw7IhoKlMZW5K5V,0.829,0.592,,0.0,0.527,-17.932,,78.828,0.15,0.0,216333.0
I Wish You Would - Voice Memo,1989 (Deluxe),1/1/2014,18.0,4eTXfpHxhxVofrBUjAhPMg,,,0.781,0.357,0.0,,-16.394,0.912,118.317,0.645,0.0,107133.0
Blank Space - Voice Memo,1989 (Deluxe),1/1/2014,,4e6QU4gpfZj9xxcK856RgG,spotify:track:4e6QU4gpfZj9xxcK856RgG,0.801,0.675,0.234,0.0,0.657,-15.064,0.721,,0.578,0.0,131186.0
State Of Grace,Red,10/22/2012,1.0,786NsUYn4GGUf8AOt0SQhP,,,,0.825,0.00138,0.0885,-5.882,0.0328,129.968,0.397,42.0,295186.0
Red,Red,10/22/2012,2.0,0cITLOYn1Sv4q27zZPqlNK,spotify:track:0cITLOYn1Sv4q27zZPqlNK,0.0773,0.602,0.896,8.87e-05,0.091,-4.267,0.0437,124.978,,,220826.0
Treacherous,Red,10/22/2012,3.0,5kYFVSQoPu7yRpfiHBwMUk,spotify:track:5kYFVSQoPu7yRpfiHBwMUk,,0.705,0.621,4.3e-06,0.147,,0.0334,109.993,0.395,41.0,240773.0
I Knew You Were Trouble.,Red,10/22/2012,4.0,72jCZdH0Lhg93z6Z4hBjgj,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,,,0.469,2.25e-06,0.0398,-6.798,0.0363,77.019,0.679,62.0,217973.0
All Too Well,Red,10/22/2012,5.0,4XMP3zVxrnr58T0tjIHvpR,spotify:track:4XMP3zVxrnr58T0tjIHvpR,0.0382,,0.609,0.0002,0.127,-7.803,0.0243,93.06,0.337,,
22,Red,10/22/2012,,2ULNeSomDxVNmdDy8VxEBU,spotify:track:2ULNeSomDxVNmdDy8VxEBU,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,,,51.0,230133.0
I Almost Do,Red,10/22/2012,7.0,5VwFkx7JOimOGTYfha5rs1,spotify:track:5VwFkx7JOimOGTYfha5rs1,,0.567,0.481,4.13e-05,0.182,-7.357,,145.865,0.233,44.0,242573.0
,,10/22/2012,8.0,7AEAGTc8cReDqcbPoY9gwo,spotify:track:7AEAGTc8cReDqcbPoY9gwo,0.00957,0.628,,2.65e-05,0.102,-5.911,0.0916,85.984,,60.0,191880.0
Stay Stay Stay,Red,10/22/2012,9.0,1qLeEu4iXEclkLwoBlMiou,spotify:track:1qLeEu4iXEclkLwoBlMiou,0.307,0.729,0.748,1.29e-06,0.09,-6.67,0.0245,99.981,0.928,42.0,204826.0
The Last Time,Red,10/22/2012,10.0,,spotify:track:3n9mzjgAzjyKawvbHzciXF,0.035,,0.443,3.15e-06,,-7.039,0.0276,94.069,0.123,40.0,298293.0
Holy Ground,Red,10/22/2012,11.0,1fGsZsIkQkOspfsT24nQP6,spotify:track:1fGsZsIkQkOspfsT24nQP6,0.0162,0.627,0.816,0.00208,0.0966,-6.698,0.0774,157.043,0.648,,
,Red,10/22/2012,12.0,,spotify:track:6LKjHhOW1az75pCQ9XJJtF,0.632,0.624,0.34,0.0337,0.121,-12.411,0.029,129.987,0.261,38.0,283680.0
The Lucky One,Red,10/22/2012,13.0,2X2J0BhxaLTmnxO4pPUhSd,spotify:track:2X2J0BhxaLTmnxO4pPUhSd,0.0371,0.706,0.499,0.0,0.132,-7.675,0.0369,117.937,0.545,,240133.0
,Red,,,4NAmRvqSITAAzKWnC8yRq3,,0.36,0.624,,3.89e-06,0.303,,0.0287,80.017,0.436,,243933.0
Starlight,Red,10/22/2012,15.0,7MecVsMj22MneZt7kVFaCr,,0.0213,0.649,0.777,0.000335,0.221,-5.804,0.0406,126.018,0.587,,217826.0
Begin Again,Red,10/22/2012,,,spotify:track:0L4YCNRfXAoTvdpWeH2RGj,,0.53,0.526,3.52e-06,0.232,-8.349,0.0263,79.025,0.323,57.0,237613.0
State Of Grace,Red (Deluxe Edition),10/22/2012,1.0,0b16LTzby1YRVd2nq2Z0fw,spotify:track:0b16LTzby1YRVd2nq2Z0fw,0.000197,,0.825,0.00138,0.0884,-5.882,0.0328,129.968,0.397,49.0,295720.0
,Red (Deluxe Edition),10/22/2012,,7gJtmLyPTwKzhGzMBXtuXH,,0.0773,0.602,0.896,8.87e-05,0.0911,-4.267,,124.978,0.641,,223093.0
Treacherous,Red (Deluxe Edition),10/22/2012,3.0,7nECwCDHS1JvQbrmuorZIH,spotify:track:7nECwCDHS1JvQbrmuorZIH,0.101,,0.621,4.3e-06,0.14,-8.086,0.0334,109.995,0.395,48.0,242760.0
I Knew You Were Trouble.,Red (Deluxe Edition),,4.0,,spotify:track:3lKZf71jeNi14udIFPJ29V,0.00454,0.622,0.469,2.25e-06,,-6.798,0.0363,77.019,0.679,,219720.0
,Red (Deluxe Edition),10/22/2012,5.0,6GNRkaWUB0Lwc19SdkTgx8,,,0.602,0.609,0.0002,0.128,-7.803,0.0243,93.06,0.337,64.0,329160.0
22,Red (Deluxe Edition),10/22/2012,6.0,3WC5CVAahvn98hiseoIvbw,spotify:track:3WC5CVAahvn98hiseoIvbw,0.00215,0.661,0.729,0.0013,0.0477,-6.561,0.0376,103.987,0.668,,232120.0
I Almost Do,Red (Deluxe Edition),10/22/2012,7.0,1eyqSYBCTane4rl4vc6PWJ,spotify:track:1eyqSYBCTane4rl4vc6PWJ,0.0173,0.567,0.481,,0.182,-7.357,0.027,145.865,0.233,49.0,244560.0
We Are Never Ever Getting Back Together,Red (Deluxe Edition),,8.0,6kISMRfweKSvgHR0urMQFG,spotify:track:6kISMRfweKSvgHR0urMQFG,0.00957,0.628,0.676,2.65e-05,0.121,-5.911,0.0916,85.984,0.75,60.0,193146.0
Stay Stay Stay,Red (Deluxe Edition),10/22/2012,9.0,0F2S1QlnMaOfmNHIgmES3k,,,0.729,0.748,1.29e-06,0.0962,,0.0245,99.981,0.928,48.0,205853.0
The Last Time,Red (Deluxe Edition),10/22/2012,10.0,2Tz4JnXZOcjcp8fWfMjBBk,spotify:track:2Tz4JnXZOcjcp8fWfMjBBk,0.035,0.505,0.443,3.15e-06,0.0906,-7.039,0.0276,,0.123,51.0,299013.0
Holy Ground,Red (Deluxe Edition),10/22/2012,11.0,3KmYVOuK2eG7LGP7qQ8DLR,spotify:track:3KmYVOuK2eG7LGP7qQ8DLR,0.0162,0.627,0.816,0.00208,0.0965,-6.698,,157.043,0.648,46.0,202960.0
Sad Beautiful Tragic,Red (Deluxe Edition),10/22/2012,12.0,70e9zuv2pJc7ON1OUAJ1zl,spotify:track:70e9zuv2pJc7ON1OUAJ1zl,0.632,0.624,0.34,0.0337,0.0805,-12.411,0.029,129.987,0.261,,284866.0
The Lucky One,Red (Deluxe Edition),10/22/2012,13.0,5VQLMrWhailAhErKNUSnv1,,0.0371,0.706,0.499,,0.132,,,,0.545,46.0,
Everything Has Changed,Red (Deluxe Edition),10/22/2012,14.0,,spotify:track:5PjfMmF06QtxTPZBZHdhoZ,0.36,0.624,0.458,,0.311,-6.755,0.0287,80.016,0.436,56.0,245413.0
Starlight,Red (Deluxe Edition),10/22/2012,15.0,1gL4vMhDV3RgJQmDuY5HK1,spotify:track:1gL4vMhDV3RgJQmDuY5HK1,0.0213,0.649,0.777,0.000335,0.21,,0.0406,126.018,,46.0,220600.0
Begin Again,Red (Deluxe Edition),10/22/2012,16.0,1yG491M3fRfowMdGN5pey4,spotify:track:1yG491M3fRfowMdGN5pey4,0.199,0.53,0.526,3.52e-06,0.14,-8.349,0.0263,79.025,0.323,,239426.0
The Moment I Knew,Red (Deluxe Edition),10/22/2012,17.0,4qTAwKJQ68gmnrnfPD3vlO,,0.187,0.619,0.506,1.47e-05,0.101,-7.327,0.0315,126.03,,,286613.0
Come Back...Be Here,Red (Deluxe Edition),10/22/2012,18.0,1n8rB9AhxiAvVP1E2c3yOd,spotify:track:1n8rB9AhxiAvVP1E2c3yOd,0.00471,0.483,,2.01e-06,0.0997,-6.291,0.0254,79.926,0.217,,223920.0
Girl At Home,,10/22/2012,19.0,6VFpuI0DDmbC5UyWZQ4IRY,spotify:track:6VFpuI0DDmbC5UyWZQ4IRY,0.272,0.733,0.59,0.0,0.134,,,125.048,0.633,42.0,220840.0
Treacherous - Original Demo Recording,Red (Deluxe Edition),10/22/2012,20.0,7skiELMb9SiQCcBpsExIJf,spotify:track:7skiELMb9SiQCcBpsExIJf,,0.828,0.64,6.14e-05,0.0991,-8.248,0.0355,109.993,0.519,40.0,240266.0
Red - Original Demo Recording,Red (Deluxe Edition),10/22/2012,21.0,2OghnlGqZZsFzHjG0CSE9l,spotify:track:2OghnlGqZZsFzHjG0CSE9l,0.113,0.678,0.902,0.000235,0.0705,-4.659,0.0358,124.998,0.637,,227080.0
State Of Grace - Acoustic,Red (Deluxe Edition),10/22/2012,22.0,5mfDBWY7ncZFm7ykmFTG4i,spotify:track:5mfDBWY7ncZFm7ykmFTG4i,0.664,,0.118,0.000169,,-15.91,0.0305,105.597,0.0682,44.0,323080.0
State Of Grace,,10/22/2012,,5zyCYmiaVE5y26EZuwZbsw,spotify:track:5zyCYmiaVE5y26EZuwZbsw,0.000197,0.588,0.825,0.00138,0.0885,-5.882,0.0328,129.968,0.397,48.0,295186.0
Red,Red (Deluxe Edition),10/22/2012,2.0,,spotify:track:1RvQQGwaPipiNgz8RXAKA8,0.0773,0.602,0.896,8.87e-05,0.091,-4.267,0.0437,124.978,0.641,54.0,220826.0
Treacherous,Red (Deluxe Edition),10/22/2012,,0XfOV7qY3834QpFVwOb6CC,spotify:track:0XfOV7qY3834QpFVwOb6CC,0.101,,0.621,4.3e-06,0.147,-8.086,0.0334,109.993,0.395,47.0,240773.0
I Knew You Were Trouble.,Red (Deluxe Edition),10/22/2012,4.0,0ciHz919LVKoH4zgxyMPZ9,spotify:track:0ciHz919LVKoH4zgxyMPZ9,0.00454,0.622,0.469,2.25e-06,,-6.798,0.0363,77.019,0.679,53.0,217973.0
All Too Well,Red (Deluxe Edition),10/22/2012,5.0,1q3RiD1tIWUpGsNFADMlvl,spotify:track:1q3RiD1tIWUpGsNFADMlvl,0.0382,,0.609,0.0002,0.127,,0.0243,93.06,0.337,62.0,327893.0
